品质,味道,价格,分量,外观,物流,客服,粗粒度
1,2,1,2,1,1,1,1
1,1,1,2,1,1,1,1
1,2,1,2,1,2,1,1
1,1,1,2,1,1,2,1
1,1,1,2,1,2,2,1
2,2,1,2,1,2,1,1
1,2,1,2,2,2,2,1
1,2,1,2,1,2,2,1
2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,1
2,1,1,1,2,1,2,1
1,2,2,2,2,2,2,1
2,2,2,2,1,2,2,1
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
1,2,1,2,2,2,2,1
0,2,2,2,2,2,2,0
2,2,2,2,1,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,0
1,2,2,2,2,2,2,1
2,2,2,2,1,2,1,1
1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,1,1,2,2,2,2,1
1,1,2,1,2,2,2,1
1,2,1,2,2,2,2,1
1,2,1,2,1,2,2,1
1,2,1,2,2,2,2,1
1,1,1,2,2,2,2,1
1,1,2,2,2,2,2,1
1,2,2,2,1,2,2,1
1,2,1,2,2,2,2,1
2,2,2,1,1,2,2,1
2,1,1,1,2,2,2,1
1,2,2,2,2,2,2,0
2,2,1,2,2,2,2,1
2,1,1,2,2,2,2,1
2,2,2,2,2,2,2,0
2,2,2,2,1,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,1,1,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,1,2,1,1,2,1
1,2,2,2,2,2,2,1
1,2,1,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,1
2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
1,1,1,2,1,1,1,1
1,2,1,2,2,2,2,1
1,2,2,2,1,2,2,1
1,2,2,2,2,1,2,1
1,2,1,2,2,2,2,1
1,2,1,2,1,1,1,1
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
2,2,2,2,1,2,1,1
2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,1
2,2,2,2,1,2,1,1
2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,2,1,2,1
2,2,2,2,2,2,2,0
2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
2,1,1,2,2,2,2,1
2,2,2,0,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,1,2,1,1,1
2,1,2,2,2,2,1,1
2,2,1,2,2,2,1,1
1,2,2,2,2,2,1,1
2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,1
2,1,2,2,2,2,2,1
1,2,2,2,2,2,2,1
1,1,1,2,2,2,2,1
1,2,1,2,1,2,2,1
1,2,1,2,2,2,2,1
2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,0
2,1,2,2,2,2,2,1
2,1,2,2,2,2,2,1
1,2,2,2,2,2,1,1
2,0,1,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,1,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,1,2,2,2,2,1
1,1,2,2,2,2,2,1
2,1,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,0
2,2,2,2,2,2,2,1
1,2,1,2,2,2,2,1
2,2,1,2,2,2,1,1
1,2,2,2,2,1,2,1
1,2,1,2,2,2,2,1
1,1,1,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,1,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,1,1,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,1,2,2,2,2,1
2,1,2,2,2,2,1,1
2,1,2,2,2,2,2,1
1,2,1,2,2,2,2,1
1,1,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,1,1,2,2,2,2,1
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,2,1,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,0
2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,0
2,2,2,2,2,2,2,0
1,2,1,2,2,2,2,1
1,2,1,1,2,2,2,1
1,2,1,2,2,2,2,1
1,2,1,2,2,2,1,1
2,1,1,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,0
1,2,2,2,2,2,2,1
1,1,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,0
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,1,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,1
1,2,2,2,2,1,2,1
2,2,2,2,2,2,2,1
1,1,1,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,1,2,2,2,1
2,2,1,2,2,2,2,1
2,2,2,2,1,2,2,1
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
1,2,2,1,2,2,2,1
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,1,2,1,2,1
1,2,2,2,2,2,2,1
2,2,1,2,2,2,2,1
2,1,1,2,2,2,2,1
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1
1,2,2,2,2,1,2,1
2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
2,2,2,2,1,2,2,1
2,2,1,2,1,2,2,1
1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1
1,2,1,2,2,2,2,1
1,2,1,2,2,2,2,1
2,2,1,2,2,2,2,1
2,2,2,1,2,2,2,1
2,2,2,2,2,2,1,1
1,2,2,2,2,2,2,0
2,2,1,2,2,2,2,1
